total_population,median_income,median_rent,median_home_value,vacant_units,total_units,avg_commute_time,median_age,non_hispanic_white,hispanic_population,per_capita_income,poverty_count,median_year_built,rent_burden_30_50,total_housing_units,bachelors_degree,workers_public_transit,vehicles_available,zip_code
96988.0,106916.0,1885.0,1105100.0,6062.0,47715.0,37278.0,39.8,22870.0,51711.0,83211.0,13450.0,47715.0,1937.0,47715.0,5193.0,37278.0,41653.0,10025
38829.0,130396.0,2309.0,1836600.0,1458.0,17956.0,15071.0,37.7,5812.0,23474.0,87008.0,5406.0,17956.0,909.0,17956.0,2481.0,15071.0,16498.0,11231
0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10115
47183.0,79136.0,1998.0,949700.0,1212.0,18725.0,21388.0,32.6,26247.0,11395.0,35966.0,10614.0,18725.0,1453.0,18725.0,5714.0,21388.0,17513.0,11237
29453.0,150675.0,2113.0,2000001.0,2770.0,15523.0,12081.0,40.2,2447.0,15832.0,157378.0,2762.0,15523.0,702.0,15523.0,1794.0,12081.0,12753.0,10013
89976.0,91379.0,1732.0,715400.0,2744.0,35350.0,37111.0,42.6,8004.0,32017.0,44580.0,8470.0,35350.0,720.0,35350.0,14356.0,37111.0,32606.0,11234
100082.0,79885.0,1608.0,676300.0,2893.0,36879.0,41312.0,39.8,9116.0,3761.0,35857.0,12196.0,36879.0,1190.0,36879.0,17956.0,41312.0,33986.0,11236
44832.0,111065.0,1970.0,612700.0,717.0,14229.0,19289.0,40.3,3035.0,549.0,40354.0,2678.0,14229.0,216.0,14229.0,7901.0,19289.0,13512.0,11413
78624.0,36536.0,1323.0,474400.0,559.0,28819.0,27540.0,33.1,51450.0,2158.0,19491.0,28246.0,28819.0,2318.0,28819.0,10707.0,27540.0,28260.0,10452
60480.0,56752.0,1519.0,593000.0,1875.0,24160.0,24579.0,37.3,39710.0,8843.0,38741.0,11804.0,24160.0,2315.0,24160.0,6394.0,24579.0,22285.0,10032
101053.0,75947.0,1672.0,807000.0,3363.0,41821.0,46577.0,35.7,15023.0,13797.0,39023.0,14519.0,41821.0,2692.0,41821.0,18741.0,46577.0,38458.0,11226
41570.0,65109.0,1588.0,491200.0,1034.0,16913.0,17236.0,37.6,28679.0,7926.0,37520.0,6286.0,16913.0,1150.0,16913.0,4670.0,17236.0,15879.0,10034
79817.0,41145.0,1381.0,265200.0,998.0,27161.0,27173.0,30.8,52152.0,1370.0,20187.0,27317.0,27161.0,1948.0,27161.0,10922.0,27173.0,26163.0,10457
79495.0,52658.0,1625.0,718600.0,1714.0,31404.0,32036.0,46.2,12811.0,5601.0,28128.0,16259.0,31404.0,1123.0,31404.0,16832.0,32036.0,29690.0,11355
108180.0,56298.0,1506.0,621500.0,3047.0,37368.0,40584.0,33.8,42173.0,2724.0,25229.0,22895.0,37368.0,1942.0,37368.0,30944.0,40584.0,34321.0,11208
39250.0,90572.0,1931.0,815800.0,1644.0,14462.0,17636.0,39.8,14449.0,18243.0,37259.0,4082.0,14462.0,556.0,14462.0,7932.0,17636.0,12818.0,11378
96801.0,52569.0,1476.0,632600.0,2807.0,37638.0,35784.0,35.4,31777.0,5094.0,26544.0,24846.0,37638.0,2249.0,37638.0,19601.0,35784.0,34831.0,11207
51964.0,41270.0,1292.0,570600.0,707.0,18512.0,18524.0,32.9,34990.0,980.0,22140.0,15759.0,18512.0,1341.0,18512.0,6957.0,18524.0,17805.0,10459
78506.0,68006.0,1495.0,646400.0,3332.0,32743.0,33482.0,42.3,5388.0,3963.0,34492.0,11030.0,32743.0,1285.0,32743.0,17796.0,33482.0,29411.0,11203
81109.0,72799.0,1586.0,809600.0,2652.0,33403.0,30429.0,42.2,7163.0,46946.0,39779.0,12678.0,33403.0,1060.0,33403.0,10848.0,30429.0,30751.0,11229
58711.0,77209.0,1674.0,702500.0,1459.0,21980.0,24810.0,37.0,39448.0,13708.0,44492.0,9436.0,21980.0,1625.0,21980.0,6164.0,24810.0,20521.0,10033
50319.0,74839.0,2107.0,883100.0,1927.0,18788.0,16828.0,29.7,7107.0,26235.0,46352.0,14408.0,18788.0,1168.0,18788.0,4152.0,16828.0,16861.0,11205
27069.0,103409.0,2184.0,798900.0,7202.0,19366.0,11797.0,36.0,6957.0,12428.0,55313.0,3838.0,19366.0,1087.0,19366.0,3466.0,11797.0,12164.0,11102
28164.0,71618.0,2044.0,844700.0,3596.0,11736.0,8435.0,39.0,10700.0,7001.0,30217.0,2438.0,11736.0,228.0,11736.0,6205.0,8435.0,8140.0,11370
47230.0,86006.0,1953.0,481200.0,1493.0,21293.0,19608.0,41.4,10451.0,17651.0,45357.0,5497.0,21293.0,925.0,21293.0,5909.0,19608.0,19800.0,11374
75614.0,35640.0,1137.0,735700.0,3744.0,37150.0,26197.0,38.3,34520.0,11279.0,35582.0,22710.0,37150.0,3655.0,37150.0,11169.0,26197.0,33406.0,10029
50772.0,145934.0,2637.0,1151800.0,6143.0,35017.0,24163.0,42.5,7062.0,34587.0,139232.0,4630.0,35017.0,1623.0,35017.0,2127.0,24163.0,28874.0,10011
86977.0,72273.0,1743.0,645900.0,1342.0,34581.0,40057.0,39.5,34283.0,17338.0,38202.0,8747.0,34581.0,2675.0,34581.0,19246.0,40057.0,33239.0,11377
34752.0,88116.0,2042.0,998200.0,2992.0,18508.0,18079.0,35.3,9251.0,18603.0,57604.0,3586.0,18508.0,844.0,18508.0,5015.0,18079.0,15516.0,11103
81397.0,43985.0,1508.0,278200.0,1042.0,29270.0,29675.0,33.4,63467.0,2514.0,20774.0,21132.0,29270.0,2350.0,29270.0,13674.0,29675.0,28228.0,10468
51311.0,34316.0,1257.0,243400.0,370.0,21335.0,17939.0,34.3,28202.0,2285.0,24055.0,18692.0,21335.0,1972.0,21335.0,7248.0,17939.0,20965.0,10451
62774.0,166994.0,2760.0,1743700.0,6852.0,36324.0,23891.0,43.1,7527.0,47078.0,137778.0,5177.0,36324.0,1902.0,36324.0,2038.0,23891.0,29472.0,10024
38265.0,68831.0,1507.0,1030400.0,2070.0,17307.0,15740.0,36.1,7595.0,8366.0,49988.0,7562.0,17307.0,797.0,17307.0,4816.0,15740.0,15237.0,10026
8659.0,149118.0,3501.0,911900.0,705.0,5409.0,4606.0,33.2,1149.0,4095.0,124389.0,1122.0,5409.0,286.0,5409.0,415.0,4606.0,4704.0,10018
46311.0,85946.0,1680.0,587400.0,849.0,17017.0,18510.0,37.9,21668.0,16654.0,38332.0,6123.0,17017.0,558.0,17017.0,6938.0,18510.0,16168.0,10465
42211.0,84764.0,1517.0,614700.0,1195.0,16975.0,18585.0,43.5,6273.0,24453.0,40980.0,3681.0,16975.0,542.0,16975.0,7728.0,18585.0,15780.0,10305
82678.0,41550.0,1512.0,476200.0,2030.0,31146.0,29880.0,30.5,58929.0,5792.0,20274.0,23392.0,31146.0,3086.0,31146.0,11346.0,29880.0,29116.0,10458
19719.0,100016.0,2145.0,679500.0,1019.0,9711.0,7221.0,51.9,2040.0,10829.0,59617.0,1269.0,9711.0,212.0,9711.0,2509.0,7221.0,8692.0,11360
71862.0,76731.0,1634.0,615600.0,1354.0,24691.0,29026.0,39.7,21234.0,6344.0,32303.0,10894.0,24691.0,1052.0,24691.0,11810.0,29026.0,23337.0,10469
53371.0,56854.0,1707.0,513300.0,2042.0,23022.0,22144.0,47.7,7207.0,7633.0,34501.0,9694.0,23022.0,812.0,23022.0,11151.0,22144.0,20980.0,11354
30930.0,102287.0,2269.0,1450400.0,3608.0,22524.0,16085.0,39.3,6363.0,15593.0,91750.0,3829.0,22524.0,1983.0,22524.0,1853.0,16085.0,18916.0,10036
27845.0,95721.0,1452.0,609200.0,348.0,8386.0,12156.0,41.8,4182.0,834.0,36788.0,2333.0,8386.0,92.0,8386.0,4087.0,12156.0,8038.0,11429
46424.0,82655.0,1708.0,885800.0,452.0,16813.0,18572.0,42.4,9859.0,10303.0,37945.0,5061.0,16813.0,802.0,16813.0,6604.0,18572.0,16361.0,11365
68182.0,71728.0,1375.0,551800.0,1005.0,23991.0,28284.0,40.0,7993.0,1362.0,34177.0,8206.0,23991.0,1374.0,23991.0,11903.0,28284.0,22986.0,11434
77230.0,63431.0,1652.0,398700.0,2070.0,31876.0,31679.0,35.1,36434.0,8032.0,29892.0,14797.0,31876.0,1712.0,31876.0,12497.0,31679.0,29806.0,10462
